employment,country,edlevel,orgsize,yearscode,yearscodepro,currency,comptotal,age,year,comptotal_usd,edvalue,employment_value,lower_bound_orgsize,upper_bound_orgsize
Employed full-time,Belgium,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,20,10,European Euro,60000.0,35,2019,70800.0,2,0,10000,10001
"Independent contractor, freelancer, or self-employed",United Kingdom,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,40,37,United States dollar,160000.0,54,2019,160000.0,3,1,1,10001
Employed full-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,8,3,European Euro,50000.0,28,2019,59000.0,2,0,20,99
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,5,3,United States dollar,,28,2019,,2,0,10000,10001
Employed part-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,2,3,European Euro,,29,2019,,2,2,2,9
Employed full-time,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,17,6,Canadian dollar,77500.0,28,2019,62000.0,2,0,2,9
Employed full-time,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,18,7,Australian dollar,90000.0,30,2019,68400.0,0,0,20,99
Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,6,4,Pound sterling,75000.0,26,2019,102750.00000000001,2,0,500,999
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",1000 to 4999 employees,10,3,United States dollar,220000.0,35,2019,220000.0,5,0,1000,4999
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,41,26,United States dollar,200000.0,51,2019,200000.0,2,0,100,499
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",5000 to 9999 employees,10,7,United States dollar,,33,2019,,5,0,5000,9999
Employed full-time,United States,Some college/university study without earning a degree,2-9 employees,13,12,United States dollar,145000.0,29,2019,145000.0,1,0,2,9
Employed full-time,Greece,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,10,3,European Euro,4000.0,33,2019,4720.0,2,0,10,19
"Independent contractor, freelancer, or self-employed",United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,14,14,Pound sterling,130000.0,31,2019,178100.0,0,1,1,10001
Employed full-time,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5000 to 9999 employees,12,6,United States dollar,69300.0,28,2019,69300.0,3,0,5000,9999
Employed full-time,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,15,10,European Euro,,32,2019,,2,0,10,19
Employed full-time,United States,Some college/university study without earning a degree,20 to 99 employees,28,6,United States dollar,90000.0,35,2019,90000.0,1,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,20,15,United States dollar,150000.0,38,2019,150000.0,0,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,9,1,United States dollar,80800.0,24,2019,80800.0,0,0,10000,10001
Employed full-time,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,3,2,Canadian dollar,62500.0,28,2019,50000.0,2,0,10,19
Employed full-time,Germany,"Other doctoral degree (Ph.D, Ed.D., etc.)",100 to 499 employees,5,1,European Euro,3600.0,35,2019,4248.0,5,0,100,499
Employed part-time,Germany,"Other doctoral degree (Ph.D, Ed.D., etc.)",10000 or more employees,18,15,European Euro,,40,2019,,5,2,10000,10001
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1000 to 4999 employees,20,17,United States dollar,124000.0,42,2019,124000.0,2,0,1000,4999
Employed full-time,France,"Other doctoral degree (Ph.D, Ed.D., etc.)",500 to 999 employees,25,18,European Euro,36000.0,40,2019,42480.0,5,0,500,999
Employed full-time,United Kingdom,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,5,4,Pound sterling,54000.0,22,2019,73980.0,3,0,10,19
Employed full-time,United States,Some college/university study without earning a degree,10 to 19 employees,8,3,United States dollar,85000.0,23,2019,85000.0,1,0,10,19
Employed full-time,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,22,14,European Euro,80000.0,38,2019,94400.0,0,0,10000,10001
Employed full-time,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1000 to 4999 employees,4,3,European Euro,19000.0,27,2019,22420.0,2,0,1000,4999
Employed full-time,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,5,1,European Euro,2175.0,22,2019,2566.5,0,0,10000,10001
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,25,25,United States dollar,160000.0,48,2019,160000.0,2,0,100,499
Employed full-time,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,42,30,European Euro,,60,2019,,0,0,2,9
Employed full-time,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,23,21,Australian dollar,150000.0,40,2019,114000.0,0,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,7,5,United States dollar,85000.0,27,2019,85000.0,0,0,500,999
Employed full-time,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,10,6,Swiss franc,72300.0,28,2019,78807.0,3,0,100,499
Employed full-time,Australia,Some college/university study without earning a degree,10 to 19 employees,20,13,Australian dollar,,30,2019,,1,0,10,19
Employed full-time,United Kingdom,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,8,Less than 1 year,Pound sterling,14000.0,19,2019,19180.0,3,0,100,499
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,6,2,United States dollar,45000.0,26,2019,45000.0,0,0,20,99
Employed full-time,Spain,"Other doctoral degree (Ph.D, Ed.D., etc.)",5000 to 9999 employees,10,4,Pound sterling,32000.0,34,2019,43840.0,5,0,5000,9999
Employed part-time,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,8,Less than 1 year,European Euro,410.0,21,2019,483.79999999999995,0,2,10000,10001
"Independent contractor, freelancer, or self-employed",Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,35,20,European Euro,150000.0,50,2019,177000.0,3,1,20,99
"Independent contractor, freelancer, or self-employed",United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,20,20,United States dollar,40000.0,43,2019,40000.0,0,1,2,9
Employed full-time,Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,6,2,European Euro,30000.0,21,2019,35400.0,0,0,10000,10001
Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,40,40,Pound sterling,54000.0,63,2019,73980.0,0,0,20,99
Employed part-time,Lithuania,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,4,1,European Euro,,21,2019,,3,2,20,99
Employed full-time,United States,Some college/university study without earning a degree,10000 or more employees,7,4,United States dollar,52000.0,24,2019,52000.0,1,0,10000,10001
Employed full-time,Netherlands,"Other doctoral degree (Ph.D, Ed.D., etc.)",10000 or more employees,24,10,European Euro,125000.0,31,2019,147500.0,5,0,10000,10001
Employed full-time,United Kingdom,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10000 or more employees,25,23,Pound sterling,67000.0,51,2019,91790.0,3,0,10000,10001
Employed full-time,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,7,4,Canadian dollar,2800.0,26,2019,2240.0,2,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1000 to 4999 employees,8,4,United States dollar,73102.0,26,2019,73102.0,0,0,1000,4999
Employed full-time,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,5,Less than 1 year,European Euro,42000.0,22,2019,49560.0,2,0,10000,10001
Employed full-time,Canada,Associate degree,10 to 19 employees,19,16,Canadian dollar,82000.0,39,2019,65600.0,4,0,10,19
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",10000 or more employees,29,4,United States dollar,210978.0,35,2019,210978.0,5,0,10000,10001
Employed full-time,Spain,Some college/university study without earning a degree,100 to 499 employees,15,7,European Euro,33000.0,35,2019,38940.0,1,0,100,499
Employed full-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1000 to 4999 employees,5,2,European Euro,,28,2019,,2,0,1000,4999
Employed full-time,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,28,17,European Euro,55000.0,40,2019,64900.0,2,0,10000,10001
Employed full-time,United States,Some college/university study without earning a degree,20 to 99 employees,19,11,United States dollar,100000.0,32,2019,100000.0,1,0,20,99
Employed full-time,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,7,4,European Euro,70000.0,26,2019,82600.0,2,0,500,999
Employed full-time,Portugal,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,15,4,European Euro,900.0,28,2019,1062.0,0,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,13,6,United States dollar,,28,2019,,0,0,100,499
Employed full-time,United Kingdom,Some college/university study without earning a degree,5000 to 9999 employees,8,5,Pound sterling,75000.0,28,2019,102750.00000000001,1,0,5000,9999
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,17,13,United States dollar,150000.0,37,2019,150000.0,0,0,10,19
Employed full-time,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,11,4,Canadian dollar,87500.0,23,2019,70000.0,0,0,10000,10001
Employed full-time,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5000 to 9999 employees,9,4,Canadian dollar,,28,2019,,2,0,5000,9999
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,8,3,United States dollar,90000.0,25,2019,90000.0,2,0,10,19
Employed full-time,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2-9 employees,8,5,European Euro,2500.0,24,2019,2950.0,3,0,2,9
Employed full-time,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,19,10,Canadian dollar,72500.0,42,2019,58000.0,0,0,20,99
Employed full-time,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,15,15,European Euro,60000.0,38,2019,70800.0,3,0,100,499
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",5000 to 9999 employees,8,8,United States dollar,190000.0,38,2019,190000.0,5,0,5000,9999
"Independent contractor, freelancer, or self-employed",United States,I never completed any formal education,1,51,More than 50 years,United States dollar,115000.0,70,2019,115000.0,6,1,1,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,9,2,United States dollar,90000.0,24,2019,90000.0,0,0,10000,10001
Employed full-time,Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,19,13,European Euro,2941.0,35,2019,3470.3799999999997,0,0,100,499
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,12,12,United States dollar,87000.0,30,2019,87000.0,0,0,100,499
"Independent contractor, freelancer, or self-employed",United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,14,12,Pound sterling,50000.0,37,2019,68500.0,0,1,2,9
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,18,18,United States dollar,90000.0,42,2019,90000.0,0,0,500,999
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,11,6,United States dollar,77000.0,26,2019,77000.0,0,0,10,19
Employed full-time,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,4,3,European Euro,3900.0,33,2019,4602.0,2,0,500,999
Employed full-time,Slovakia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,6,2,European Euro,1000.0,33,2019,1180.0,2,0,500,999
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,16,12,United States dollar,80000.0,38,2019,80000.0,0,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,14,13,United States dollar,96000.0,34,2019,96000.0,0,0,10000,10001
Employed full-time,United States,Associate degree,100 to 499 employees,3,2,United States dollar,24000.0,27,2019,24000.0,4,0,100,499
"Independent contractor, freelancer, or self-employed",New Zealand,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,37,34,New Zealand dollar,,55,2019,,0,1,2,9
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,12,8,United States dollar,60000.0,32,2019,60000.0,0,0,10000,10001
Employed full-time,United Kingdom,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1000 to 4999 employees,10,Less than 1 year,Pound sterling,23470.0,22,2019,32153.9,3,0,1000,4999
Employed full-time,Australia,Some college/university study without earning a degree,100 to 499 employees,22,15,Australian dollar,100000.0,35,2019,76000.0,1,0,100,499
Employed full-time,United States,Some college/university study without earning a degree,2-9 employees,14,10,United States dollar,,31,2019,,1,0,2,9
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,10,Less than 1 year,United States dollar,21000.0,22,2019,21000.0,0,0,2,9
Employed full-time,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1000 to 4999 employees,25,16,European Euro,66000.0,37,2019,77880.0,0,0,1000,4999
"Independent contractor, freelancer, or self-employed",United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1,15,15,Pound sterling,,34,2019,,2,1,1,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,21,8,United States dollar,210000.0,35,2019,210000.0,0,0,10000,10001
Employed full-time,United States,Associate degree,10000 or more employees,11,8,United States dollar,190000.0,30,2019,190000.0,4,0,10000,10001
Employed part-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,15,5,Pound sterling,15000.0,45,2019,20550.0,0,2,1,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,35,22,United States dollar,140000.0,43,2019,140000.0,0,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,25,23,United States dollar,2250.0,40,2019,2250.0,0,0,10000,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,8,4,United States dollar,118000.0,32,2019,118000.0,0,0,100,499
Employed full-time,Japan,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,4,24,Japanese yen,8000000.0,32,2019,73600.0,2,0,20,99
Employed full-time,United States,Associate degree,2-9 employees,29,18,United States dollar,,34,2019,,4,0,2,9
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,7,3,United States dollar,65000.0,23,2019,65000.0,0,0,10000,10001
Employed part-time,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,13,Less than 1 year,European Euro,850.0,24,2019,1003.0,3,2,1,10001
Employed full-time,United States,Associate degree,10000 or more employees,1,Less than 1 year,United States dollar,58300.0,28,2019,58300.0,4,0,10000,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,7,3,United States dollar,51000.0,31,2019,51000.0,0,0,100,499
Employed full-time,United States,"Professional degree (JD, MD, etc.)",100 to 499 employees,6,3,United States dollar,90000.0,33,2019,90000.0,7,0,100,499
"Independent contractor, freelancer, or self-employed",Bangladesh,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,12,12,United States dollar,1500.0,37,2019,1500.0,0,1,1,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,1,1,United States dollar,,31,2019,,0,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5000 to 9999 employees,4,1,United States dollar,75000.0,23,2019,75000.0,0,0,5000,9999
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,6,5,United States dollar,70000.0,27,2019,70000.0,2,0,2,9
Employed full-time,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10000 or more employees,16,16,European Euro,4040.0,56,2019,4767.2,3,0,10000,10001
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,13,8,United States dollar,140000.0,37,2019,140000.0,2,0,500,999
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1,20,13,United States dollar,125000.0,37,2019,125000.0,2,0,1,10001
"Independent contractor, freelancer, or self-employed",United Kingdom,Some college/university study without earning a degree,1,24,20,Pound sterling,,40,2019,,1,1,1,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,6,3,United States dollar,70000.0,23,2019,70000.0,0,0,10000,10001
Employed full-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,13,5,European Euro,67000.0,30,2019,79060.0,2,0,500,999
Employed full-time,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,8,8,Australian dollar,,27,2019,,0,0,2,9
Employed full-time,Spain,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,3,3,European Euro,62000.0,25,2019,73160.0,3,0,10,19
Employed full-time,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,31,20,Canadian dollar,90000.0,46,2019,72000.0,0,0,100,499
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,33,10,United States dollar,300000.0,48,2019,300000.0,2,0,2,9
Employed full-time,United States,Some college/university study without earning a degree,100 to 499 employees,18,13,United States dollar,140000.0,32,2019,140000.0,1,0,100,499
Employed full-time,United Kingdom,"Other doctoral degree (Ph.D, Ed.D., etc.)",20 to 99 employees,38,28,Pound sterling,67000.0,50,2019,91790.0,5,0,20,99
Employed full-time,Netherlands,Some college/university study without earning a degree,2-9 employees,30,,European Euro,,53,2019,,1,0,2,9
Employed full-time,Australia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,16,6,Australian dollar,80000.0,31,2019,60800.0,2,0,100,499
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,8,9,United States dollar,,32,2019,,2,0,100,499
"Independent contractor, freelancer, or self-employed",United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,41,40,United States dollar,96000.0,63,2019,96000.0,0,1,2,9
"Independent contractor, freelancer, or self-employed",Bulgaria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,12,9,United States dollar,,29,2019,,0,1,2,9
Employed full-time,Belgium,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,13,12,European Euro,5000.0,32,2019,5900.0,2,0,20,99
Employed full-time,Ecuador,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,15,11,United States dollar,800.0,32,2019,800.0,0,0,10,19
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,20,14,United States dollar,130000.0,36,2019,130000.0,2,0,10000,10001
Employed full-time,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,10,8,Swiss franc,80000.0,25,2019,87200.0,3,0,20,99
Employed full-time,New Zealand,Some college/university study without earning a degree,1000 to 4999 employees,20,13,New Zealand dollar,74000.0,37,2019,54020.0,1,0,1000,4999
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,23,10,United States dollar,110000.0,33,2019,110000.0,2,0,10000,10001
"Independent contractor, freelancer, or self-employed",United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,26,22,United States dollar,,40,2019,,0,1,1,10001
"Independent contractor, freelancer, or self-employed",Canada,Some college/university study without earning a degree,1,16,12,Canadian dollar,70000.0,33,2019,56000.0,1,1,1,10001
Employed full-time,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,23,13,European Euro,4250.0,40,2019,5015.0,0,0,20,99
Employed full-time,Germany,Some college/university study without earning a degree,500 to 999 employees,10,Less than 1 year,European Euro,47000.0,22,2019,55460.0,1,0,500,999
Employed full-time,United States,Associate degree,100 to 499 employees,15,13,United States dollar,115000.0,31,2019,115000.0,4,0,100,499
Employed full-time,Portugal,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,14,10,European Euro,1300.0,37,2019,1534.0,0,0,2,9
Employed full-time,United Kingdom,"Other doctoral degree (Ph.D, Ed.D., etc.)",10000 or more employees,6,Less than 1 year,Pound sterling,28000.0,26,2019,38360.0,5,0,10000,10001
Employed full-time,France,"Other doctoral degree (Ph.D, Ed.D., etc.)",2-9 employees,20,12,European Euro,5800.0,35,2019,6844.0,5,0,2,9
Employed full-time,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5000 to 9999 employees,5,2,European Euro,2020.0,24,2019,2383.6,0,0,5000,9999
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",10000 or more employees,38,36,United States dollar,230000.0,50,2019,230000.0,5,0,10000,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,8,6,United States dollar,64627.0,28,2019,64627.0,0,0,500,999
Employed full-time,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,1,Less than 1 year,European Euro,22000.0,27,2019,25960.0,0,0,100,499
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1000 to 4999 employees,8,4,United States dollar,78000.0,26,2019,78000.0,0,0,1000,4999
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,22,21,United States dollar,165000.0,48,2019,165000.0,2,0,500,999
Employed full-time,Ireland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,8,5,European Euro,60000.0,36,2019,70800.0,2,0,10000,10001
Employed full-time,United States,Associate degree,20 to 99 employees,16,9,United States dollar,150000.0,35,2019,150000.0,4,0,20,99
"Independent contractor, freelancer, or self-employed",United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1,20,10,United States dollar,50000.0,35,2019,50000.0,2,1,1,10001
"Independent contractor, freelancer, or self-employed",United States,Some college/university study without earning a degree,1,25,25,United States dollar,100000.0,69,2019,100000.0,1,1,1,10001
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,4,3,United States dollar,110000.0,29,2019,110000.0,2,0,10,19
Employed full-time,Spain,"Other doctoral degree (Ph.D, Ed.D., etc.)",500 to 999 employees,10,5,European Euro,33000.0,30,2019,38940.0,5,0,500,999
Employed full-time,United States,Some college/university study without earning a degree,100 to 499 employees,15,6,United States dollar,66000.0,36,2019,66000.0,1,0,100,499
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,5,4,United States dollar,80000.0,28,2019,80000.0,0,0,10,19
Employed part-time,Netherlands,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10000 or more employees,10,5,European Euro,,22,2019,,3,2,10000,10001
Employed full-time,United States,Some college/university study without earning a degree,20 to 99 employees,10,5,United States dollar,75000.0,34,2019,75000.0,1,0,20,99
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,22,17,United States dollar,,38,2019,,0,0,10,19
Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,8,2,Pound sterling,27000.0,25,2019,36990.0,2,0,10,19
Employed full-time,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,10,3,Canadian dollar,1028.0,24,2019,822.4000000000001,0,0,10000,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,23,13,United States dollar,100000.0,35,2019,100000.0,0,0,20,99
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",100 to 499 employees,11,3,United States dollar,135000.0,31,2019,135000.0,5,0,100,499
Employed full-time,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,12,5,Australian dollar,101000.0,26,2019,76760.0,0,0,10,19
Employed full-time,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,19,13,European Euro,,31,2019,,2,0,2,9
Employed full-time,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,7,5,European Euro,52000.0,26,2019,61360.0,3,0,20,99
Employed full-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,7,7,European Euro,80000.0,29,2019,94400.0,2,0,20,99
Employed full-time,Netherlands,"Other doctoral degree (Ph.D, Ed.D., etc.)",100 to 499 employees,20,5,European Euro,4666.0,34,2019,5505.88,5,0,100,499
Employed full-time,Panama,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,8,4,United States dollar,1500.0,27,2019,1500.0,0,0,20,99
Employed full-time,Canada,"Other doctoral degree (Ph.D, Ed.D., etc.)",10 to 19 employees,21,17,Canadian dollar,125000.0,39,2019,100000.0,5,0,10,19
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,7,5,United States dollar,180000.0,39,2019,180000.0,0,0,500,999
Employed full-time,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1000 to 4999 employees,34,21,United States dollar,155000.0,50,2019,155000.0,3,0,1000,4999
"Independent contractor, freelancer, or self-employed",Canada,Associate degree,1,38,25,Canadian dollar,3000.0,52,2019,2400.0,4,1,1,10001
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,5,3,United States dollar,,35,2019,,2,0,10,19
"Independent contractor, freelancer, or self-employed",Canada,Associate degree,10000 or more employees,35,27,Canadian dollar,5000.0,45,2019,4000.0,4,1,10000,10001
"Independent contractor, freelancer, or self-employed",Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,8,8,Australian dollar,,58,2019,,0,1,1,10001
Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",100 to 499 employees,7,5,United States dollar,250000.0,33,2019,250000.0,5,0,100,499
Employed full-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,9,Less than 1 year,European Euro,5000.0,28,2019,5900.0,2,0,10,19
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,4,4,United States dollar,140000.0,30,2019,140000.0,2,0,500,999
Employed full-time,United States,Associate degree,20 to 99 employees,4,2,United States dollar,42000.0,28,2019,42000.0,4,0,20,99
Employed full-time,United Kingdom,Some college/university study without earning a degree,1000 to 4999 employees,40,39,Pound sterling,180000.0,59,2019,246600.00000000003,1,0,1000,4999
Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,13,9,Pound sterling,37250.0,29,2019,51032.50000000001,0,0,2,9
